2024-05-01 09:36:41.5048 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting starting
2024-05-01 09:36:45.4396 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory | Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider
2024-05-01 09:36:47.2582 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer | Using development certificate: CN=localhost (Thumbprint: 4A3F19302DC503DCF872708C86F161CC3D96CF0F)
2024-05-01 09:36:47.5465 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Hosting started
2024-05-01 09:36:47.5465 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly BillingAPI
2024-05-01 09:36:47.5465 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh
2024-05-01 09:36:47.5465 | DEBUG | Microsoft.AspNetCore.Hosting.Diagnostics | Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net
2024-05-01 09:36:47.7986 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN39IGFHS6SL" accepted.
2024-05-01 09:36:47.7986 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN39IGFHS6SM" accepted.
2024-05-01 09:36:47.8083 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN39IGFHS6SL" started.
2024-05-01 09:36:47.8083 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN39IGFHS6SM" started.
2024-05-01 09:36:51.5344 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN39IGFHS6SN" accepted.
2024-05-01 09:36:51.6051 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HN39IGFHS6SN" started.
